DBID,Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Area,State,Mile Marker,High Tide Dist.,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Entangled,Entangling Item,Injured,Injury Desc.,Notes,,,,,,,,,,,,,,,,,,,,,,,
376,10-10-85,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
377,30-10-85,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Queets,Washington,0,0,-124.353,47.534,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
378,09-10-87,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Yellowbank,Washington,0,0,-124.685,48.095,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
379,21-07-93,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Oysterville,Washington,0,0,-124.033,46.549,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
380,09-08-93,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Live,La Push,Washington,0,0,-124.636,47.907,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Turtle reported seen from vessel while underway. ,,,,,,,,,,,,,,,,,,,,,,,
381,13-09-93,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Leadbetter Point,Washington,0,0,-124.059,46.627,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
382,21-09-93,00:00,no data,no data,Turtle,Leatherback Sea Turtle,no data,Dead,Fort Canby,Washington,0,0,-124.052,46.278,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
383,26-08-85,00:00,no data,no data,Turtle,Leatherback Sea Turtle (2+),no data,Live,Off La Push,Washington,0,0,-124.636,47.907,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Sighted at sea.*  ,,,,,,,,,,,,,,,,,,,,,,,
384,02-11-83,00:00,,,Turtle,Loggerhead,,Alive,Morro Bay Offshore,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,24-03-86,00:00,,,Turtle,Loggerhead,,Alive,"Playa Del Rey, Scattergood Generating Station",California,,,,,,,,,,,,,,"Original Weight on form was 75 lbs. ANIMAL RELEASED ALIVE; TURTLE UNABLE TO ESCAPE CIRCULATING WATER SCREEN BAY; REMOVED TO PREVENT INJURY DURING FORTHCOMING MARINE GROWTH CONTROL HEAT ENVIRONMENT, PHOTOS TAKEN.  Contact: LIEUTENANT MARK CAYWOOD, CALIFORN",,,,,,,,,,,,,,,,,,,,,,,
386,10-04-86,00:00,,,Turtle,Loggerhead,,Alive,"Playa Del Rey, Scattergood Generating Station",California,,,,,,,,,,,,,,Original Weight on form was 65 lbs. THIS MAY BE THE SAME ANIMAL THAT STRANDED AT THIS LOCATION ON 03/24/86 (SEE SID# 8603001); UNABLE TO ESCAPE CIRCULATING WATER SCREEN; REMOVED TO PREVENT INJURY DURING FORTHCOMING MARINE GROWTH CONTROL HEAT TREATMENT.  C,,,,,,,,,,,,,,,,,,,,,,,
387,09-06-86,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,"Original Length on form was 39 CM.  RECORDED LENGTH IS CARAPACE LENGTH; LENGTH FROM SNOUT TO VENT = 59.5 CM, CARCASS TO SAN DIEGO MUSEUM OF NATURAL HISTORY (DOC-4114-F/SWR).  Contact: CALIFORNIA DEPARTMENT OF PARKS & RECREATION PERSONNEL, BOLSA CHICA STAT",,,,,,,,,,,,,,,,,,,,,,,
388,31-07-90,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Huntington Beach, Bolsa Chica State Beach, Warner Avenue",California,,,,,,,,,,,,,,Original Length on form was 74.1 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
389,01-08-90,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Seal Beach, At Jetty",California,,,,,,,,,,,,,,Original Length on form was 61 CM.  DISPOSED OF BY LIFEGAURD,,,,,,,,,,,,,,,,,,,,,,,
390,12-08-90,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Seal Beach, South Of Seal Beach Pier",California,,,,,,,,,,,,,,Original Length on form was 70.5 CM.  RECORDED LENGTH IS CURVILINEAR; STANDARD LENGTH = 64.5 CM; TOTAL LENGTH= 94.0 CM; HEAD WIDTH = 13.8 CM (STANDARD MEASUREMENT),,,,,,,,,,,,,,,,,,,,,,,
391,01-12-91,00:00,,,Turtle,Loggerhead,,,Shuyak Island,Alaska,,,-152.486,58.514,Estimate,,,,,,,,,CARCASS,,,,,,,,,,,,,,,,,,,,,,,
392,21-04-92,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Huntington Beach, Huntington State Beach",California,,,,,,,,,,,,,,"Original Length on form was 59.3 CM.  Original Weight on form was 85 lbs. MARINE DEBRIS (PLASTIC, WOOD, & PAPER) IN INTESTINE, CAUSING FECAL IMPACTION & PERFORATION OF INTESTINAL WALL",,,,,,,,,,,,,,,,,,,,,,,
393,21-04-92,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Ventura, Offshore",California,,,,,,,,,,,,,,Original Length on form was 50.5 CM.  CARCASS RETRIEVED FROM ACTIVE DRIFT GILLNETTER BY NMFS PERSONNEL,,,,,,,,,,,,,,,,,,,,,,,
394,27-08-92,00:00,,,Turtle,Loggerhead,,Alive,"Point Loma, Offshore, 7 Miles South Of Point Loma",California,,,,,,,,,,,,,,"Original Length on form was 9.5 IN.  Original CCL on form was 9.5 in. Original Weight on form was 4 lbs. ANIMAL ENTANGLED IN FISHING LINE BROUGHT TO SEAWORLD ON 08/27/92; FLIPPER TAGS X-174/X-175, RELEASED OFF SHORE OF SAN DIEGO ON 09/29/1992 RECORDED LEN",,,,,,,,,,,,,,,,,,,,,,,
395,27-02-93,00:00,,,Turtle,Loggerhead,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,,,,,,,,,,,,Original Length on form was 17 IN.  Original CCL on form was 17 in. Original Weight on form was 25 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED IMMEDIATELY AT PENDLETON BEACH (NORTH SAN DIEGO COUNTY) IN GOOD CONDITION; METAL NMFS TAGS PLACED O,,,,,,,,,,,,,,,,,,,,,,,
396,07-05-93,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,Original Length on form was 60 CM.  Original Weight on form was 40 lbs. ALGAE & LIVE BARNACLE ON CARAPACE; LIVE CRAB ON PLASTRON; RECORDED LENGTH = CURVILINEAR CARAPACE LENGTH; ACUTE PNEUMONITIS OF LEFT LUNG; MUCOSAL ULCERATION OF DUODENUM,,,,,,,,,,,,,,,,,,,,,,,
397,01-07-93,00:00,,,Turtle,Loggerhead,,Alive,Cape Georgena,Alaska,,,-135.859,57.329,Estimate,,,,,,,,,SIGHTING,,,,,,,,,,,,,,,,,,,,,,,
398,19-07-93,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Santa Barbara, Base Of Mesa Lane Stairs",California,,,,,,,,,,,,,,Original Length on form was 74.8 CM.  Original Weight on form was 75 lbs. CARAPACE LENGTH = CURVILINEAR LENGTH,,,,,,,,,,,,,,,,,,,,,,,
399,31-08-93,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Huntington Beach, Huntington State Beach",California,,,,,,,,,,,,,,Original Length on form was 71.1 CM.  Original Weight on form was 75 lbs. HEMORRHAGIC ENTERITIS,,,,,,,,,,,,,,,,,,,,,,,
400,01-09-93,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"South Laguna, Aliso Beach County Park",California,,,,,,,,,,,,,,Original Length on form was 66.4 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
401,01-03-94,00:00,,,Turtle,Loggerhead,,,"Lompoc, Vandenberg Air Force Base",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,02-08-94,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,Original Length on form was 61 CM.  RECORDED LENGTH - CURVILINEAR CARAPACE LENGTH; PHOTOS TAKEN (FRAMES 1-12),,,,,,,,,,,,,,,,,,,,,,,
403,28-01-95,00:00,,,Turtle,Loggerhead,,Alive,"Morro Bay, 95 Miles Offshore",California,,,,,,,,,,,,,,"CARAPACE MEASUREMENTS ARE 9.5"""" IN LENGTH & 8.5"""" IN WIDTH; ANIMAL CAUGHT IN ABANDONDED PIECE OF DRIFTING MONOFILAMENT GILLNET APPROX 4.5""""; RELEASED 5 MILES OFFSHORE OF MORRO BAY",,,,,,,,,,,,,,,,,,,,,,,
404,28-09-95,00:00,,,Turtle,Loggerhead,,Alive,"El Segundo, El Segundo Generating Station Untis 3&4",California,,,,,,,,,,,,,,Original Weight on form was 40 lbs. RELOCATED TO REDONDO BEACH KING HARBOR; GOOD CONDITION; RELEASED APPROXIMATELY 1 MILE OFFSHORE,,,,,,,,,,,,,,,,,,,,,,,
405,15-07-96,00:00,,,Turtle,Loggerhead,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,,,,,,,,,,,,"Original Length on form was 25.75 IN.  Original CCL on form was 25.75 in. Original Weight on form was 40 lbs. RELEASED AT DANA POINT IN GOOD CONDITION; NATIONAL MARINE FISHERIES SERVICE TAGS WERE APPLIED AS FOLLOW: X-188 ON LEFT FRONT FLIPPER, X-187 ON RI",,,,,,,,,,,,,,,,,,,,,,,
406,30-09-96,00:00,,,Turtle,Loggerhead,,Alive,"Playa Del Rey, Scattergood Generating Station - Ladwp Circulating Water Screen Bay (Entered Through Intake Tunnel)",California,,,,,,,,,,,,,,"TURTLE WAS EXAMINED AND DETERMINED TO BE IN GOOD HEALTH; IT WAS DELIVERED TO KING HARBOR, REDONDO BEACH; TAKEN TO OCEAN BY HARBOR PATROL & RELEASED.",,,,,,,,,,,,,,,,,,,,,,,
407,11-09-97,00:00,,,Turtle,Loggerhead,,,"Mission Beach, Mission Beach, At Carmel Street",California,,,,,,,,,,,,,,Original Length on form was 57.6 CM.  RECORDED LENGTH MEASUREMENT = CURVILINEAR CARAPACE LENGTH;  STOMACH FULL OF CRABS & ONE PIECE OF PLASTIC,,,,,,,,,,,,,,,,,,,,,,,
408,21-07-98,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"Long Beach, Oil Island Freeman",California,,,,,,,,,,,,,,Original Length on form was 59.6 CM.  RECORDED LENGTH = CURVILINEAR CARAPACE LENGTH,,,,,,,,,,,,,,,,,,,,,,,
409,10-09-98,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Solana Beach, Main Lifeguard Tower",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,16-04-00,00:00,,,Turtle,Loggerhead,,Alive,"Malibu, In Front Of Paradise Cove Restaurant",California,,,,,,,,,,,,,,ANIMAL TAKEN TO  CALIFORNIA WILDLIFE CENTER FOR OVERNIGHT HOLD; DIED DURING THE NIGHT; NECROPSIED AT CONEJO VALLEY VET CLINIC; CARAPACE LENGTH FROM CRANIAL CENTER TO FURTHEST POINT = 68.6 CM; CARAPACE LENGTH FROM CRANIAL CENTER TO INDENTATION = 66 CM. ,,,,,,,,,,,,,,,,,,,,,,,
411,25-08-00,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Sunset Beach, Anderson Street",California,,,,,,,,,,,,,,Original Length on form was 40 CM.  LENGTH MEASURED IS CARAPACE CURVILINEAR LENGTH,,,,,,,,,,,,,,,,,,,,,,,
412,10-08-01,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,Original Length on form was 21.5 IN.  Original CCL on form was 21.5 in. RECORDED LENGTH = CARAPACE LENGTH,,,,,,,,,,,,,,,,,,,,,,,
413,02-09-01,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"Sunset Beach, Broadway & Pacific Coast Highway",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,24-11-01,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,08-02-02,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Huntington Beach, Bolsa Chica State Beach",California,,,,,,,,,,,,,,Original Length on form was 62.1 CM.  Original Weight on form was 50 lbs. GILLNET-LIKE SCARRING ON CARAPACE;  RECORDED LENGTH =  CURVILINEAR CARAPACE LENGTH,,,,,,,,,,,,,,,,,,,,,,,
416,23-07-06,00:00,,,Turtle,Loggerhead,,Alive,Encinitas,California,,,,,,,,,,,,,,"Original SCL on form was 27.2 CM.  Original Weight on form was 7.6 lbs.  ANIMAL BROUGHT TO SEAWORLD, WAS KEPT AS A PET.",,,,,,,,,,,,,,,,,,,,,,,
417,25-08-07,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"San Clemente, San Clemente",California,,,,,,,,,,,,,,"Original Weight on form was 50 lbs. SPECIES CC was CM.  FOUND DECEASED ON BEACH AND PICKED UP BY ANIMAL CONTROL OFFICER; MONOFILAMENT FISHING-LINE WRAPPED AROUND LEFT FRONT FLIPPER; LIGATURE DID NOT APPEAR TO BE COMPLETELY STRANGULATING, AS MOST OF FLIPPE",,,,,,,,,,,,,,,,,,,,,,,
418,10-11-08,00:00,,,Turtle,Loggerhead,,Alive,"Half Moon Bay, Poplar Beach, 3 Blocks South Of Horse Trail",California,,,,,,,,,,,,,,"DEHYDRATED; MALNOURISHED; BUOYANCY PROBLEMS. TRANSFERRED TO SEAWORLD ON 11/11/08. ANIMAL APPEARS THIN, WITH NORMAL RESPIRATORY PATTERN.  RELEASED 5-7 MILES OFFSHORE, 5 MILES NORTH OF US/MEXICO BORDER (32 35.220, 117 22.360)",,,,,,,,,,,,,,,,,,,,,,,
419,15-10-09,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"Hermosa Beach, Between 5Th & 6Th Streets",California,,,,,,,,,,,,,,Original Length on form was 79.9 CM.  TWO REPORTS ONE THE DAY AFTER THE OTHER,,,,,,,,,,,,,,,,,,,,,,,
420,12-07-10,00:00,,,Turtle,Loggerhead,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,,,,,,,,,,,,Original Weight on form was 90 lbs. ANIMAL DISCOVERED IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED & TRANSLOCATED TO SAN ONOFRE STATE BEACH; SILVER METAL TAG #Q-338 AFFIXED TO LEFT FRONT FLIPPER; SILVER METAL TAG #Q-339 AFFIXED TO RIGHT FRONT FLIPPER,,,,,,,,,,,,,,,,,,,,,,,
421,29-12-10,00:00,,,Turtle,Loggerhead,,Alive,"Dillon Beach, Dillon Beach (Lawson's Resort), Gulf Of The Farallones National Marine Sanctuary, Near The Creek",California,,,,,,,,,,,,,,Original Length on form was 27.5 CM.  SPECIES LV (was CC).  STUPOROUS WITH OCCASIONAL RESPONSE TO STIMULI. COLD SHOCK. HYPOGLYCEMIA. TAKEN TO PRIVATE RESIDENCE FOR COUPLE HOURS THEN DELIVERED TO SONOMA COUNTY REPTILE RESCUE. DIED OVERNIGHT AND CARCASS TRA,,,,,,,,,,,,,,,,,,,,,,,
422,17-01-12,00:00,,,Turtle,Loggerhead,,Fresh Dead,"Salmon Creek Beach, With 40 Meters Of Handicap Ramp At Salmon Creek Beach",California,,,,,,,,,,,,,,"NO OBVIOUS WOUNDS OR INJURIES; INTERNAL PARTIAL EXAM DID NOT REVEAL ANY PLASTIC, HOOKS ETC.; ALTHOUGH A FULL NECROPSY INVESTIGATING ALL THE PORTIONS OF THE GASTROINTESTINAL TRACT WAS NOT CONDUCTED.  THE STOMACH APPEARED EMPTY.",,,,,,,,,,,,,,,,,,,,,,,
423,16-08-12,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,Doheny State Beach In Dana Point. Found 3 Miles Straight Out From Harbor Mouth By A Fisherman (Roger Heely),California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,01-08-13,00:00,,,Turtle,Loggerhead,,,Tower #22,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,08-05-14,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,At End Of Santa Cruz St,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,01-07-14,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,100 Yds North Of Lifeguard Tower 6 On Silver Strand State Beach,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,18-07-14,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"Hollywood Beach, Channel Islands Harbor Area Of Ventura County, Ca; Coordinates From Google Earth = 34.100577/-119.140066 [Coordinates Later Corrected]; Just Below The Beach Berm At This Morning's High Tide Line At The Lifeguard Tower Just Out From La Cre",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,04-08-14,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Nbvc - Point Mugu, Holiday Beach",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,27-09-14,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,Unincorporated; Hollywood Beach Near Los Feliz Street,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,16-03-15,00:00,,,Turtle,Loggerhead,,Alive,Between Long Beach And Catalina Mid Channel,California,,,,,,,,,,,,,,"Reported as lethagic and listing (buoyancy issue) by CG. I twas unresponsive when they touched it with a pole and decided to bring it on board. AOP intially saw some buoyancy issues on first day, but by next day turtle was diving just fine. Coco is the fi",,,,,,,,,,,,,,,,,,,,,,,
431,24-05-15,00:00,,,Turtle,Loggerhead,,Moderate Decomposition,"Approximately 1 Mile North Of Imperial Beach Pier On Ocean Side Of Silver Strand. Specimen Was Originally Found At The High Tide Line, Was Moved By Initial Observer (Libby) About 100 Yards Inland, Behind Sand Dunes To Prevent The Carcass From Washing Away",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,24-05-15,00:00,,,Turtle,Loggerhead,,Unknown Condition,"~150 Yards North Of Camp North's Lifeguard Tower, Right Near 2Nd Jetty North Of Imperial Beach Pier",California,,,,,,,,,,,,,,Joel & William could not relocate stranding. Estimates and location are all reported from original observer (Terri Johnson) and from one picture taken by observer (see attached picture). ***********NOTE: SWFSC-MT-2015-04 (another loggerhead stranding) w,,,,,,,,,,,,,,,,,,,,,,,
433,25-09-15,00:00,,,Turtle,Loggerhead,,,Catalina Channel 18 Miles Between Long Beach And Avalon (Catalina Island),California,,,,,,,,,,,,,,no stranding form; date examined and released unknown.,,,,,,,,,,,,,,,,,,,,,,,
434,09-09-16,00:00,,,Turtle,Loggerhead,,Advanced Decomposition,"Found In Wrack Line At ""Killer Dana"" Beach (Adjacent To Northern Jetty Wall/Behind Ocean Institute). Approximately 150 Feet North Of Stairway Entrance.",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,15-09-80,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Dead,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
436,01-02-81,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Live,Benson Beach,Washington,0,0,-124.06,46.368,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,"Found live with a puncture wound, treated at Seattle Aquarium and released.*",,,,,,,,,,,,,,,,,,,,,,,
437,01-02-81,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Dead,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
438,01-12-90,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Live,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
439,14-08-92,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Live,Westport Bay,Washington,0,0,-124.117,46.907,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
440,11-05-93,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Live,Newport,Oregon,0,0,-124.062,44.631,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
441,24-01-98,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Unknown,Lincoln City,Oregon,0,0,-124.019,44.962,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
442,09-01-00,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Dead,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
443,24-12-07,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Unkown,Gearhart,Oregon,0,0,-123.926,46.023,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Field #: HMSC07-01-07-Cm Died 12/25/2007. Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
444,11-02-17,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Alive,Cannon Beach,Oregon,0,0,-123.96865,45.91075,Estimate,0,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
445,01-03-17,00:00,no data,no data,Turtle,Loggerhead Sea Turtle,no data,Fresh Dead,Neskowin,Oregon,0,0,-123.985,45.107143,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
446,23-04-08,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Pacific City,Oregon,0,0,-123.969,45.213,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
447,14-05-08,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Nye Beach,Oregon,0,0,-124.062,44.639,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
448,04-06-08,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Yachats,Oregon,0,0,-124.107,44.312,Estimate,134,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
449,11-06-08,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Depoe Bay Beacon,Oregon,0,0,-124.063,44.811,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
450,26-03-09,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Beverly Beach,Oregon,0,0,-124.058,44.729,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
451,07-04-09,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,South Beach,Oregon,0,0,-124.066,44.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
452,03-06-09,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Cannon Beach,Oregon,0,0,-123.96865,45.91075,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
453,23-06-10,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,South Beach,Oregon,0,0,-124.066,44.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
454,03-05-12,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Neskowin Beach,Oregon,0,0,-123.985,45.107143,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
455,06-05-12,00:00,no data,no data,Fish,Longnose Lancetfish,no data,Alive,Moolack Beach,Oregon,0,0,-124.063,44.699,Estimate,0,0,0,No Data,No Data,No Data,No Data,,Seagulls started to eat it,,,,,,,,,,,,,,,,,,,,,,,
456,13-05-12,00:00,no data,no data,Fish,Longnose Lancetfish,no data,No Data,Mouth At Netarts,Oregon,0,0,-123.945,45.43,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
457,02-07-03,00:00,no data,no data,Squid,No Data,no data,No Data,Crescent City,Oregon,0,0,-124.207,41.75,Estimate,366,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
458,22-09-04,00:00,no data,no data,Squid,No Data,no data,No Data,Rockaway Beach,Oregon,0,0,-123.945,45.615,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
459,10-11-04,00:00,no data,no data,Squid,No Data,no data,No Data,Driftwood Beach,Oregon,0,0,-124.081,44.464,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
460,16-12-04,00:00,no data,no data,Squid,No Data,no data,No Data,Seaside,Oregon,0,0,-123.931,45.989,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
461,12-09-07,00:00,no data,no data,Shark,No Data,no data,No Data,Ocean Shores,Washington,0,0,-124.166,46.996,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
462,24-10-07,00:00,no data,no data,Shark,No Data,no data,No Data,Rockaway Beach,Oregon,0,0,-123.945,45.615,Estimate,90,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
463,29-07-08,00:00,no data,no data,Squid,No Data,no data,No Data,1 Mile N Of Yachats,Oregon,0,0,-124.101,44.329,Estimate,243,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
464,16-07-10,00:00,no data,no data,Squid,No Data,no data,No Data,"Astoria, Sandines",Oregon,0,0,-123.831,46.189,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
465,07-07-80,00:00,,,Turtle,Olive Ridley,,Alive,San Diego,California,,,,,,,,,,,,,,Original SCL on form was 13 CM (estimated).,,,,,,,,,,,,,,,,,,,,,,,
466,02-11-83,00:00,,,Turtle,Olive Ridley,,Alive,Rodriguez Seamount Off Channel Islands,California,,,,,,,,,,,,,,Original Weight on form was 8 lbs. ANIMAL BROUGHT IN BY FISHERMAN WHOSE GILLNET IT WAS CAUGHT IN; DEEP CUT ON UPPER LEFT FLIPPER; ANIMAL IN TANK & FEEDING DAILY; TRANSFERRED TO SEAWORLD SAN DIEGO ON UNKNOWN DATE; FINAL OUTCOME OF THIS ANIMAL IS UNKNOWN.  ,,,,,,,,,,,,,,,,,,,,,,,
